,upc,sale_period,promo_revenue,promo_profit,promo_start,promo_end,promo_length,preceding_non_promo_revenue,preceding_non_promo_profit,lift,profit_difference,Long_Desc
151,1630016824,6,319.63,27.900099999999995,2025-01-29,2025-02-23,26,44.910000000000004,10.811700000000004,7.117123135159207,17.088399999999993,Growers Style-Most Pulp Orange Juice
152,1630016824,7,276.57,30.131899999999984,2025-03-13,2025-03-30,18,169.66000000000005,20.69420000000001,1.6301426382176112,9.437699999999975,Growers Style-Most Pulp Orange Juice
153,1630016824,8,195.12,2.812400000000007,2025-04-02,2025-04-21,20,14.97,3.603900000000001,13.034068136272545,-0.7914999999999943,Growers Style-Most Pulp Orange Juice
154,1630016825,1,276.84000000000003,95.13,2024-04-01,2024-04-28,28,,,,,Ruby Red Grapefruit Juice
155,1630016825,2,446.82,139.45,2024-05-15,2024-06-30,47,140.7,28.5,3.1756929637526654,110.94999999999999,Ruby Red Grapefruit Juice
156,1630016825,3,917.13,382.09499999999997,2024-08-01,2024-10-27,88,286.09000000000003,57.07500000000001,3.2057394526198046,325.02,Ruby Red Grapefruit Juice
157,1630016825,4,643.8,267.91,2024-11-20,2024-12-29,40,178.22,43.24610000000001,3.6123891819099985,224.6639,Ruby Red Grapefruit Juice
158,1630016825,5,403.75,134.1721,2025-01-02,2025-01-26,25,14.97,3.8739000000000003,26.97060788243153,130.2982,Ruby Red Grapefruit Juice
159,1630016825,6,247.41,23.876700000000003,2025-01-29,2025-02-23,26,24.950000000000003,6.006500000000002,9.916232464929859,17.8702,Ruby Red Grapefruit Juice
160,1630016825,7,215.10999999999999,24.813699999999983,2025-03-13,2025-03-30,18,114.77,12.904900000000008,1.8742702796898143,11.908799999999975,Ruby Red Grapefruit Juice
161,1630016825,8,208.29000000000002,-0.6086999999999905,2025-04-02,2025-04-19,18,14.97,3.6039000000000008,13.913827655310621,-4.212599999999991,Ruby Red Grapefruit Juice
162,2190849388,1,150.66,64.1704,2024-04-02,2024-05-21,50,,,,,Organic Mirepoix
163,2190849388,2,114.0,69.94,2024-06-04,2024-06-24,21,9.58,4.3584000000000005,11.899791231732776,65.5816,Organic Mirepoix
164,2190849388,3,48.73,22.622,2024-08-09,2024-08-25,17,14.370000000000001,5.07,3.3910925539318018,17.552,Organic Mirepoix
165,2190849388,4,198.29,104.4596,2024-08-28,2024-09-24,28,4.79,2.1792000000000002,41.396659707724424,102.2804,Organic Mirepoix
166,2190849388,5,30.0,16.979,2024-10-03,2024-10-13,11,9.78,4.571599999999999,3.067484662576687,12.407399999999999,Organic Mirepoix
167,2190849388,6,1009.44,550.6546,2024-11-08,2025-04-21,165,150.39,66.2378,6.712148414123281,484.41679999999997,Organic Mirepoix
168,2190850324,1,301.65000000000003,175.17000000000002,2024-04-02,2024-04-28,27,,,,,Organic Sweet Corn
169,2190850324,2,132.21,23.703200000000002,2024-05-02,2024-05-26,25,9.58,5.5,13.800626304801671,18.203200000000002,Organic Sweet Corn
170,2190850324,3,300.0,173.946,2024-05-29,2024-06-24,27,4.79,2.1792000000000002,62.63048016701461,171.7668,Organic Sweet Corn
171,2190850324,4,518.48,266.34159999999997,2024-07-31,2024-09-29,61,119.75000000000001,45.43,4.329686847599165,220.91159999999996,Organic Sweet Corn
172,2190850324,5,120.0,67.916,2024-10-02,2024-10-15,14,4.89,2.2857999999999996,24.539877300613497,65.6302,Organic Sweet Corn
173,2190850324,6,2265.06,1280.175,2024-11-09,2025-04-20,163,212.66,88.86019999999999,10.651086240947992,1191.3147999999999,Organic Sweet Corn
174,2190850335,1,431.40000000000003,243.72000000000003,2024-04-01,2024-04-28,28,,,,,Organic Broccoli Florets
175,2190850335,2,149.16,34.6116,2024-05-02,2024-05-26,25,9.58,5.5,15.569937369519833,29.111600000000003,Organic Broccoli Florets
176,2190850335,3,504.0,293.5828,2024-05-29,2024-06-25,28,9.58,4.3584000000000005,52.609603340292274,289.2244,Organic Broccoli Florets
177,2190850335,4,550.8199999999999,281.3976,2024-07-30,2024-09-29,62,148.49,52.39,3.7094753855478477,229.00760000000002,Organic Broccoli Florets
178,2190850335,5,150.0,84.895,2024-10-02,2024-10-15,14,14.669999999999998,6.857399999999998,10.224948875255626,78.0376,Organic Broccoli Florets
